date,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom
2000-03-31,407.48,258.09,39.91,0,14.42,13.87,66.6,0.25,49.05,3024.63,3468.6,132.03,3.14,5.47,2451.84,7.75,5.79,2.36,0.19,911.82,102.8,606.7,103.67,40.12,0.01,523.47,185.42,588.27
2000-06-30,407.48,258.09,39.92,0,14.43,13.87,66.6,0.25,49.05,3024.63,3468.6,132.22,3.14,5.47,2451.84,7.74,5.79,2.36,0.19,911.82,102.83,606.7,104.29,40.12,0.01,523.47,184.42,562.93
2000-09-30,377.5,258.09,39.92,0,14.43,13.87,66.6,0.25,49.05,3024.63,3468.6,132.38,3.14,5.47,2451.84,7.74,5.79,2.36,0.19,911.82,102.83,606.7,104.54,40.12,0.01,523.47,185.42,512.7
2000-12-31,377.5,258.09,39.92,0,14.44,13.87,66.6,0.25,49.05,3024.63,3468.6,132.56,3.14,5.47,2451.84,7.74,5.79,2.36,0.12,911.79,102.83,606.7,104.94,40.12,0.01,523.44,185.42,487.5
2001-03-31,347.49,258.06,39.94,0,14.44,13.84,66.6,0.25,49.05,3024.63,3468.6,123.04,3.14,5.47,2451.84,7.73,5.79,2.36,0.12,911.79,102.83,606.7,105,40.12,0.01,523.44,185.42,437.07
2001-06-30,347.49,258.06,39.97,13.13,14.44,13.84,66.6,0.25,49.05,3024.63,3468.6,123.04,3.14,5.47,2451.84,7.73,5.79,2.36,0.12,909.8,102.83,606.7,105,35.12,7.56,523.44,185.42,415.99
2001-09-30,347.49,258.06,39.98,0,14.44,13.81,66.6,0.25,49.05,3024.66,3456.56,123.04,3.14,5.47,2451.84,7.73,5.79,2.36,0.12,884.92,102.86,606.73,105.07,35.12,7.56,523.44,185.42,375.64
2001-12-31,347.49,258.06,39.97,0,14.43,13.81,66.59,0.25,49.05,3024.63,3456.56,122.61,3.14,5.47,2451.84,7.73,5.79,2.36,0.16,884.51,102.89,606.73,105.19,35.12,7.56,523.44,185.42,355.25
2002-03-31,347.49,258.03,39.91,0,14.46,13.78,66.59,0.25,49.08,3024.63,3448.17,122.64,3.14,5.47,2451.84,7.73,5.79,2.36,0.14,884.51,102.89,606.73,105.19,35.12,7.56,523.44,185.42,314.48
2002-06-30,317.5,258,39.87,0,14.45,13.78,66.59,0.25,49.08,3024.63,3445.8,122.61,3.14,5.47,2451.84,7.73,5.79,2.36,0.13,875.56,102.89,606.76,105.22,35.12,7.56,523.41,185.42,314.09
2002-09-30,317.5,258,39.87,0,14.46,13.75,66.59,0.25,49.05,3024.63,3445.8,122.67,3.14,5.47,2451.84,7.73,5.79,2.36,0.08,875.56,102.89,606.76,105.28,35.12,7.55,523.41,185.42,313.96
2002-12-31,317.5,257.97,39.87,0,14.46,13.75,66.56,0.25,49.05,3024.7,3445.8,122.39,3.14,5.47,2451.84,7.73,5.79,2.36,0.11,851.67,102.92,591.83,105.32,35.12,7.55,523.41,185.42,313.87
2003-03-31,317.5,257.97,39.87,0,14.46,13.72,66.57,0.25,49.05,3024.7,3445.8,122.24,3.14,5.47,2451.84,7.73,5.79,2.39,0.17,842.56,102.92,561.97,105.32,35.12,7.55,523.41,185.42,313.65
2003-06-30,317.5,257.88,39.87,0,14.46,13.78,66.58,0.25,49.05,3024.7,3442.97,122.24,3.14,5.47,2451.84,7.73,5.79,2.39,0.11,842.52,102.89,517.18,105.32,35.12,7.55,523.37,185.42,313.24
2003-09-30,317.5,257.88,39.87,0,14.47,13.75,66.56,0.25,49.05,3024.66,3439.52,107.21,3.14,5.47,2451.84,7.73,5.79,2.33,0.11,836.71,102.89,517.15,105.32,35.12,7.55,523.37,185.42,313.24
2003-12-31,317.5,257.88,39.86,0,14.48,13.75,66.55,0.25,49.05,3024.66,3439.52,107.34,3.14,5.47,2451.84,7.73,5.79,2.33,0.11,777.46,102.86,517.15,105.07,35.12,7.55,523.37,185.42,313.22
2004-03-31,317.5,257.81,39.85,0,14.48,13.65,66.55,0.25,49.08,3024.63,3439.46,107.37,3.08,5.47,2451.84,7.73,5.79,2.33,0.12,777.46,102.89,517.15,105.07,35.12,7.55,523.34,185.42,312.92
2004-06-30,317.5,257.75,39.84,0,14.47,13.62,66.55,0.25,49.05,3024.63,3436.66,107.37,3.08,5.47,2451.84,7.73,5.79,2.33,0.12,777.46,102.89,482.26,105.07,35.12,7.55,523.34,185.42,312.5
2004-09-30,317.5,257.75,39.84,0,14.47,13.59,66.55,0.25,49.08,3024.01,3433.24,107.59,3.08,5.47,2451.84,7.73,5.78,2.3,0.12,777.46,102.89,482.22,105.07,35.12,7.55,523.34,185.42,312.5
2004-12-31,307.49,257.75,39.83,0,14.47,13.62,66.55,0.25,49.14,2985.29,3433.24,107.71,3.08,5.47,2451.84,7.73,5.78,2.3,0.12,777.46,102.89,462.29,105.04,35.12,7.55,523.34,185.42,312.25
2005-03-31,307.49,257.75,39.83,0,14.47,13.59,66.55,0.25,49.14,2958.17,3433.24,107.77,3.08,5.47,2451.84,7.73,5.78,2.3,0.12,722.43,102.89,462.29,104.97,35.12,7.55,523.34,170.4,311.5
2005-06-30,307.49,257.69,39.82,0,14.47,13.59,66.55,0.25,49.14,2898.6,3428.26,107.8,3.08,5.47,2451.84,7.74,5.78,2.3,0.12,722.43,102.89,437.22,104.94,35.12,7.55,503.34,170.4,311.42
2005-09-30,302.48,227.68,39.82,0,14.47,13.56,66.55,0.25,49.14,2889.46,3427.79,107.93,3.08,5.47,2451.84,7.74,5.78,2.3,0.12,722.43,102.89,427.45,104.89,35.12,7.55,493.39,170.4,311.22
2005-12-31,302.48,227.68,39.81,0,14.47,13.53,66.55,0.25,49.14,2825.79,3427.79,107.96,3.08,5.47,2451.84,7.74,5.78,2.3,0.12,694.94,102.89,417.47,104.84,35.12,5.05,457.75,168.4,310.8
2006-03-31,297,227.68,39.79,0,14.47,13.53,66.55,0.25,49.14,2802.12,3427.79,107.99,3.08,5.47,2451.84,7.73,5.78,2.3,0.22,656.71,102.89,417.44,104.79,35.12,5.05,457.75,165.2,310.27
2006-06-30,292.77,227.68,39.78,0,14.47,13.51,66.55,0.25,49.14,2776.06,3423.5,108.05,3.08,5.47,2451.84,7.74,5.78,2.3,0.11,654.94,102.89,417.41,104.76,35.12,5.05,457.75,163.3,310.26
2006-09-30,288.73,227.68,39.78,0,14.47,13.47,66.55,0.25,49.14,2757.58,3422.51,108.08,3.08,5.47,2451.84,7.74,5.78,2.33,0.19,654.94,102.89,382.57,104.69,35.12,5.05,430.94,160.5,310.26
2006-12-31,288.73,227.68,39.78,0,14.47,13.46,66.55,0.25,49.14,2719.76,3422.51,111.75,3.08,5.47,2451.84,7.74,5.78,2.3,0.17,640.94,102.89,382.57,104.69,35.12,5.05,416.75,158.5,310.25
2007-03-31,288.73,227.64,39.78,0,14.47,13.45,66.55,0.25,49.14,2688.91,3422.51,111.94,3.08,5.47,2451.84,7.74,5.78,2.3,0.19,640.94,102.89,382.57,104.69,35.12,3.19,376.94,156.2,310.25
2007-06-30,284.75,227.64,39.78,0,14.47,13.41,66.55,0.25,49.14,2667.1,3420.58,112.1,3.08,5.6,2451.84,7.74,5.78,2.3,0.19,640.94,102.89,382.57,104.66,35.12,3.19,306.49,153.4,310.26
2007-09-30,279.99,227.64,39.78,0,14.47,13.35,66.55,0.25,49.14,2642.53,3417.37,112.19,3.08,5.47,2451.84,7.74,5.78,2.3,0.19,640.94,102.89,382.57,104.66,35.12,3.19,281.61,150.7,310.26
2007-12-31,279.99,227.61,39.79,0,14.47,13.34,66.55,0.25,49.14,2603.06,3417.37,112.53,3.08,5.47,2451.84,7.74,5.79,2.3,0.5,621.44,102.89,382.54,103.71,35.12,3.19,281.61,148.8,310.26
2008-03-31,279.99,227.58,39.82,0,13.87,13.24,66.55,0.25,49.14,2568.35,3417.37,112.78,3.08,6,2451.84,7.74,5.79,2.3,0.19,621.44,102.89,382.54,103.71,35.12,3.2,281.61,146.6,310.26
2008-06-30,279.99,227.55,39.56,0,13.87,13.23,66.55,0.25,49.14,2549.35,3413.11,112.9,3.08,6,2451.84,7.74,5.8,2.27,0.19,621.44,102.92,382.54,103.71,35.12,3.2,281.61,144,310.26
2008-09-30,279.99,227.52,39.83,0,13.87,13.13,66.55,0.25,49.14,2527.54,3412.58,113,3.08,6,2451.84,7.74,5.8,2.27,0.19,621.44,102.92,382.54,103.71,35.12,3.2,281.61,140.7,310.26
2008-12-31,279.99,227.52,39.87,0,13.87,13.13,66.55,0.25,49.14,2492.15,3412.58,112.5,3.08,6,2451.84,7.74,5.81,2.27,0.18,612.45,102.92,382.54,103.71,35.12,3.2,281.61,137,310.26
2009-03-31,279.99,227.52,39.88,0,13.87,13.13,66.55,0.25,49.14,2452.77,3412.58,112.38,3.08,5.47,2451.84,7.74,5.82,2.27,0.48,612.45,102.92,382.54,103.71,31.79,3.19,281.61,133.6,310.25
2009-06-30,279.99,227.52,39.88,0,13.87,13.02,66.55,0.25,49.14,2445.55,3408.29,112.38,3.08,6,2451.84,7.74,5.82,2.27,0.48,612.45,102.92,382.51,103.72,31.79,3.2,281.61,131,310.25
2009-09-30,279.99,227.52,39.89,0,13.87,12.91,66.55,0.25,49.14,2435.41,3407.64,112.41,3.08,6,2451.84,7.74,5.82,2.27,0.48,612.45,102.91,382.51,103.72,31.79,3.2,281.61,125.72,310.25
2009-12-31,279.99,227.52,39.89,0,13.87,12.91,66.55,0.25,49.14,2435.41,3406.77,112.44,3.08,6,2451.84,7.74,5.82,2.24,0.18,612.45,102.91,382.51,103.72,31.79,3.2,281.61,125.72,310.25
2010-03-31,279.99,227.52,39.89,0,13.87,12.8,66.55,0.25,49.14,2435.41,3406.77,112.31,3.08,6,2451.84,7.74,5.82,2.24,0.18,612.45,102.92,382.51,103.72,31.79,3.2,281.61,125.72,310.25
2010-06-30,279.99,227.52,39.89,0,13.87,12.7,66.55,0.25,49.14,2435.41,3406.77,111.79,3.08,6,2451.84,7.74,5.82,2.24,0.1,612.45,102.92,382.51,103.72,31.79,3.2,281.61,125.72,310.25
2010-09-30,279.99,227.49,39.89,0,13.87,12.7,66.55,0.25,49.14,2435.41,3401.79,111.66,3.08,6,2451.84,7.74,5.82,2.24,0.2,612.45,102.92,382.51,103.72,31.79,3.2,281.61,125.72,310.25
2010-12-31,279.99,227.49,39.89,0,13.87,12.7,66.55,0.25,49.14,2435.41,3400.95,111.6,3.08,6,2451.84,7.74,5.82,2.24,0.1,612.45,102.92,382.51,103.72,31.79,3.18,281.61,125.72,310.25
2011-03-31,279.99,227.49,39.89,0,13.87,12.61,66.55,0.25,49.14,2435.41,3400.95,111.47,3.08,6,2451.84,7.74,5.82,2.24,0.2,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2011-06-30,279.99,227.49,39.89,0,13.87,12.57,66.55,0.25,49.14,2435.41,3400.95,111.51,3.08,6,2451.84,7.74,5.82,2.24,0.2,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2011-09-30,279.99,227.46,39.89,0,13.87,12.45,66.55,0.25,49.14,2435.41,3400.95,111.57,3.08,6,2451.84,7.74,5.82,2.24,0.2,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2011-12-31,279.99,227.46,39.9,0,13.87,12.45,66.55,0.25,49.14,2435.41,3396.29,111.63,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2012-03-31,279.99,227.46,39.91,0,13.87,12.27,66.55,0.25,49.14,2435.41,3396.29,111.69,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2012-06-30,279.99,227.46,39.91,0,13.87,12.26,66.55,0.25,49.14,2435.41,3395.54,111.75,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2012-09-30,279.99,227.46,39.92,0,13.87,11.58,66.55,0.25,49.14,2435.41,3395.54,111.82,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2012-12-31,279.99,227.46,39.93,0,13.87,11.58,66.55,0.25,49.14,2435.38,3391.34,111.88,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2013-03-31,279.99,227.43,39.94,0,13.87,11.37,66.55,0.25,49.14,2435.41,3391.34,111.97,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2013-06-30,279.99,227.43,39.96,0,13.87,11.04,66.55,0.25,49.14,2435.38,3390.56,112.03,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2013-09-30,279.99,227.43,39.97,0,13.87,10.85,66.55,0.25,49.14,2435.38,3390.56,112.1,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2013-12-31,279.99,227.43,39.99,0,13.87,10.85,66.55,0.25,49.14,2435.38,3387.14,112.16,3.08,6,2451.84,7.74,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
2014-03-31,279.99,227.43,40,0,13.87,10.72,66.55,0.25,49.14,2435.38,3386.36,112.22,3.08,6,2451.84,6.62,5.82,2.24,0.31,612.45,102.92,382.48,103.72,31.79,3.17,281.61,125.72,310.25
